,鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
,The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
452,板橋區,房地(土地+建物),新北市板橋區光復街181~210號,18.54,住,,,1081229,土地1建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,911205.0,111.67,3,2,2,有,有,15360000,137548.0,,0.0,0,含增建或未登記建物。,RPOOMLQJKHPFFAF08DA
470,樹林區,房地(土地+建物)+車位,新北市樹林區大雅路361~390號,14.82,住,,,1081230,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960629.0,103.53,2,1,1,有,有,8840000,85386.0,坡道機械,16.02,0,,RPROMLQJLHPFFIF56CA
471,土城區,房地(土地+建物),新北市土城區學府路一段121~150號,14.44,住,,,1081226,土地1建物1車位0,九層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840524.0,76.95,2,1,1,有,有,8800000,114360.0,,0.0,0,含增建或未登記建物。,RPVPMLQJKHPFFAF88DA
477,新莊區,房地(土地+建物)+車位,新北市新莊區昌隆街31~60號,17.78,住,,,1081222,土地1建物1車位1,十四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850320.0,139.18,4,2,2,有,有,13700000,98434.0,坡道平面,0.0,1800000,含增建或未登記建物。權利人有2人。,RPTQMLRJKHPFFBF98DA
487,汐止區,房地(土地+建物)+車位,新北市汐止區工建路151~180號,18.54,住,,,1081211,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030305.0,140.61,2,2,1,有,有,12520000,106391.0,坡道平面,40.32,1850000,,RPTPMLRJKHPFFDF09DA
488,汐止區,房地(土地+建物),新北市汐止區福德一路1~30號,14.66,住,,,1081109,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960212.0,110.15,3,2,2,有,有,11000000,99864.0,,0.0,0,,RPUNMLSJKHPFFDF09DA
490,新店區,房地(土地+建物)+車位,新北市新店區中興路一段1~30號,14.82,住,,,1081219,土地1建物1車位1,五層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020523.0,178.64,3,2,2,有,有,25880000,156940.0,坡道平面,26.48,2000000,,RPVNMLSKKHPFFCF56DA
491,五股區,房地(土地+建物),新北市五股區成泰路一段211~240號,14.61,住,,,1081223,土地1建物1車位0,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,820811.0,101.95,3,1,2,有,有,5800000,56891.0,,0.0,0,,RPXSMLMKKHPFFBF56DA
495,蘆洲區,房地(土地+建物),新北市蘆洲區環堤大道31~60號,8.24,住,,,1081222,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,880727.0,67.6,4,2,1,有,有,7720000,114201.0,,0.0,0,含增建或未登記建物。,RPSNMLSJKHPFFGF56DA
496,三重區,房地(土地+建物),新北市三重區中正北路165巷1~30號,11.87,住,,,1081123,土地1建物1車位0,十三層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970201.0,78.87,2,1,1,有,有,9800000,124255.0,,0.0,0,,RPTNMLSJKHPFFGF66DA
