,鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
,The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
259,前鎮區,房地(土地+建物)+車位,高雄市前鎮區民權二路511~540號,14.61,住,,,1081229,土地1建物1車位1,二十三層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970307.0,302.87,4,2,2,有,有,22000000,72638.0,坡道平面,14.77,0,,RPSNMLQJKHPFFCE38CA
261,前鎮區,房地(土地+建物),高雄市前鎮區沱江街1~30號,2.9,住,,,1090108,土地2建物1車位0,十五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,780510.0,143.81,4,2,2,有,有,5980000,41583.0,,0.0,0,,RPRNMLMKKHPFFCE97CA
270,三民區,房地(土地+建物)+車位,高雄市三民區大福街211~240號,21.43,住,,,1081231,土地1建物1車位1,二層，三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,861215.0,156.57,4,2,3,有,有,6300000,39140.0,坡道平面,21.16,1000000,,RPTOMLQJKHPFFDE68CA
272,三民區,房地(土地+建物),高雄市三民區建元路1~30號,8.28,商,,,1090104,土地1建物1車位0,十七層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,890412.0,119.81,3,2,2,有,有,5250000,43819.0,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPXOMLQJKHPFFDE09CA
276,三民區,房地(土地+建物)+車位,高雄市三民區正興路1~30號,14.63,商,,,1090105,土地1建物1車位1,四層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,810514.0,328.86,4,2,3,有,有,10500000,31928.0,坡道平面,0.0,0,,RPOOMLLKKHPFFDE77CA
289,左營區,房地(土地+建物)+車位,高雄市左營區重惠街61~90號,12.51,商,,,1081230,土地1建物1車位2,三層,十四層,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,910930.0,111.44,2,2,1,有,有,5650000,50700.0,坡道機械,26.44,0,,RPVSMLQJKHPFFEE76CA
291,左營區,房地(土地+建物),高雄市左營區崇德路31~60號,7.27,商,,,1090113,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970103.0,83.81,3,2,2,有,無,5000000,59659.0,,0.0,0,,RPWNMLRJKHPFFEE09CA
293,楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學二十五路121~150號,24.89,住,,,1081230,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,1030708.0,154.56,2,2,2,有,有,7200000,46584.0,坡道平面,26.53,0,,RPRPMLQJKHPFFEE68CA
296,左營區,房地(土地+建物)+車位,高雄市左營區保靖街1~30號,9.04,商,,,1090107,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,見使用執照,920917.0,89.28,3,2,1,有,有,5800000,64964.0,坡道機械,10.28,0,含增建或未登記建物。,RPRNMLSJKHPFFEE68CA
298,左營區,房地(土地+建物)+車位,高雄市左營區曾子路511~540號,10.95,住,,,1081231,土地1建物1車位1,十五層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850830.0,145.82,3,2,2,有,有,7080000,48553.0,坡道機械,0.0,0,,RPSPMLRJKHPFFEE88CA
299,左營區,房地(土地+建物)+車位,高雄市左營區重惠街61~90號,9.48,商,,,1090101,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,見使用執照,890503.0,110.72,3,2,2,有,有,5650000,51030.0,坡道機械,9.9,0,,RPRPMLOKKHPFFEE58CA
300,左營區,房地(土地+建物)+車位,高雄市左營區介壽路221巷1~30號,25.87,住,,,1081118,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000916.0,136.7,3,2,2,有,有,7180000,52524.0,坡道平面,16.06,0,,RPTPMLOKKHPFFEE78CA
302,左營區,房地(土地+建物),高雄市左營區榮總路541~570號,8.87,住,,,1090104,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,870502.0,117.3,3,2,2,有,有,4200000,35806.0,,0.0,0,,RPPPMLMKKHPFFEE18CA
304,左營區,房地(土地+建物)+車位,高雄市左營區忠言路31~60號,21.57,商,,,1081119,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021106.0,182.99,3,2,2,有,有,14980000,81862.0,坡道平面,26.34,0,,RPPOMLOKKHPFFEE28CA
305,左營區,房地(土地+建物)+車位,高雄市左營區光興街211~240號,31.32,住,,,1090105,土地1建物1車位1,五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,790420.0,201.72,5,2,2,有,有,8700000,43129.0,坡道平面,0.0,1200000,,RPSPMLNKKHPFFEE58CA
306,楠梓區,房地(土地+建物),高雄市楠梓區鳳楠路181~210號,17.22,住,,,1090106,土地1建物1車位0,九層，電梯樓梯間,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830220.0,158.16,4,2,2,有,有,3760000,23773.0,,0.0,0,,RPTNMLOKKHPFFEE58CA
307,左營區,房地(土地+建物)+車位,高雄市左營區榮耀街31~60號,15.01,住,,,1090113,土地1建物1車位1,十五層,二十二層,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,880703.0,195.41,3,2,2,有,有,9400000,48104.0,坡道平面,24.54,0,,RPVNMLLLKHPFFEE58CA
308,楠梓區,房地(土地+建物)+車位,高雄市楠梓區鳳楠路91~120號,11.24,住,,,1081129,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021028.0,92.09,2,1,1,有,有,4800000,52123.0,坡道平面,0.0,0,,RPUNMLMJLHPFFEE48CA
309,楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學十一街61~90號,21.59,住,,,1081229,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010111.0,148.76,3,2,2,有,有,6700000,45039.0,坡道平面,0.0,0,,RPQOMLMJLHPFFEE18CA
346,大寮區,房地(土地+建物),高雄市大寮區仁德路1~30號,10.73,住,,,1081228,土地1建物1車位0,十六層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840217.0,109.49,3,2,2,有,有,1820000,16623.0,,0.0,0,急買急賣。;,RPQNMLNKKHPFFLE88CA
348,鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍勝路121~150號,9.45,商,,,1081231,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950809.0,91.4,2,1,1,有,有,5500000,60175.0,坡道機械,0.0,0,,RPPNMLKMJHPFFAE77CD
357,三民區,房地(土地+建物),高雄市三民區興安街61~90號,23.8,住,,,1090102,土地1建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,851113.0,147.81,4,2,2,有,有,5200000,35180.0,,0.0,0,,RPPNMLNJKHPFFDE18CD
358,楠梓區,房地(土地+建物)+車位,高雄市楠梓區德民路331~360號,10.3,住,,,1081229,土地1建物1車位1,八層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850112.0,141.76,3,2,2,有,有,4500000,31744.0,坡道平面,0.0,0,,RPPNMLLMJHPFFEE28CD
388,岡山區,房地(土地+建物),高雄市岡山區岡山路511~540號,4.94,住,,,1081228,土地1建物1車位0,十六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,841118.0,73.33,2,2,1,有,有,2250000,30683.0,,0.0,0,,RPPNMLLJLHPFFFE97CA
398,左營區,房地(土地+建物)+車位,高雄市左營區榮耀街31~60號,20.62,住,,,1081229,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,870319.0,169.44,4,2,2,有,無,8280000,48867.0,坡道平面,0.0,0,附贈冷氣、窗簾等家具,RPQPMLQLKHPFFEE78CA
401,左營區,房地(土地+建物),高雄市左營區榮德街421~450號,8.0,住,,,1090113,土地1建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960808.0,78.86,2,1,1,有,有,3800000,48187.0,,0.0,0,,RPUOMLSKKHPFFEE56CA
402,左營區,房地(土地+建物)+車位,高雄市左營區博愛四路1~30號,4.75,住,,,1081225,土地1建物1車位1,十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,1031128.0,68.74,3,1,2,有,有,5250000,76364.0,坡道機械,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVOMLSKKHPFFEE66CA
404,左營區,房地(土地+建物)+車位,高雄市左營區重建路1~30號,16.65,商,,,1081223,土地1建物1車位2,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,991228.0,206.13,4,2,2,有,有,13800000,66948.0,坡道平面,24.28,0,親友、員工或其他特殊關係間之交易。;,RPTOMLNKKHPFFEE58CA
407,左營區,房地(土地+建物)+車位,高雄市左營區新莊一路361~390號,15.6,住,,,1081230,土地1建物1車位1,九層,二十六層,住宅大樓(11層含以上有電梯),住家用,見使用執照,890407.0,235.07,5,2,3,有,有,12900000,54877.0,坡道平面,35.6,0,,RPVPMLOKKHPFFEE98CA
410,左營區,房地(土地+建物)+車位,高雄市左營區重建路1~30號,12.48,商,,,1081225,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950410.0,134.24,3,2,2,有,有,7860000,58552.0,坡道機械,15.7,0,,RPTPMLRJKHPFFEE98CA
413,左營區,房地(土地+建物)+車位,高雄市左營區新莊一路121~150號,12.77,住,,,1081228,土地1建物1車位1,十三層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830811.0,166.92000000000004,4,2,2,有,有,8700000,52121.0,坡道平面,0.0,0,,RPSNMLSJKHPFFEE78CA
414,左營區,房地(土地+建物)+車位,高雄市左營區大順一路241~270號,11.16,住,,,1090105,土地1建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850119.0,97.68,2,2,1,有,有,5950000,60913.0,坡道機械,0.0,0,,RPUNMLSJKHPFFEE98CA
415,左營區,房地(土地+建物),高雄市左營區華夏路1471~1500號,7.93,商,,,1090111,土地1建物1車位0,九層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840814.0,94.8,3,2,2,有,有,4200000,44304.0,,0.0,0,,RPVNMLSJKHPFFEE09CA
416,左營區,房地(土地+建物)+車位,高雄市左營區文天路121~150號,12.19,商,,,1081215,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021111.0,168.96,3,2,2,有,有,11300000,66880.0,坡道平面,0.0,0,,RPWNMLMKKHPFFEE68CA
417,左營區,房地(土地+建物)+車位,高雄市左營區博愛四路391~420號,10.58,商,,,1090110,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,940614.0,137.18,3,2,2,有,有,8000000,58318.0,坡道平面,23.16,0,固定物裝潢,RPOOMLMKKHPFFEE97CA
420,左營區,房地(土地+建物),高雄市左營區文川路211~240號,6.54,商,,,1090105,土地1建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,1030716.0,95.01,2,1,1,有,無,5700000,59994.0,,0.0,0,,RPXPMLLKKHPFFEE88CA
421,左營區,房地(土地+建物)+車位,高雄市左營區安吉街241~270號,12.43,商,,,1081222,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,951128.0,129.36,3,2,2,有,有,8260000,63853.0,坡道機械,0.0,0,,RPOQMLLKKHPFFEE08CA
423,左營區,房地(土地+建物),高雄市左營區翠華路601巷1~30號,23.14,住,,,1090113,土地1建物1車位0,十四層,十六層,住宅大樓(11層含以上有電梯),住家用,見使用執照,871209.0,152.05,3,2,2,有,有,4400000,28938.0,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQQMLQJKHPFFEE68CA
425,左營區,房地(土地+建物)+車位,高雄市左營區博愛四路151~180號,20.2,住,,,1081228,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,951124.0,175.37,4,2,2,有,有,10236800,58373.0,坡道平面,21.33,0,,RPVOMLQJKHPFFEE98CA
428,三民區,房地(土地+建物),高雄市三民區水源路217巷1~30號,9.26,住,,,1081220,土地2建物1車位0,十五層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010605.0,90.65,2,2,1,有,有,4800000,52951.0,,0.0,0,,RPXNMLLLKHPFFDE68CA
430,左營區,房地(土地+建物)+車位,高雄市左營區華夏路1441~1470號,15.2,住,,,1081225,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970521.0,149.16,3,2,2,有,有,7680000,51488.0,坡道機械,7.15,0,,RPXNMLQJKHPFFEE09CA
443,三民區,房地(土地+建物)+車位,高雄市三民區博愛一路391~420號,22.52,商,,,1080612,土地1建物1車位2,十四層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000103.0,547.96,0,0,0,無,有,40680000,69368.0,坡道平面,30.72,4800000,,RPSNMLSJKHPFFDE68CA
445,三民區,房地(土地+建物),高雄市三民區建元路31~60號,4.42,住,,,1090106,土地1建物1車位0,七層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860705.0,51.82,3,2,2,有,有,2200000,42455.0,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLRJKHPFFDE38CA
458,鼓山區,房地(土地+建物)+車位,高雄市鼓山區裕誠路1501~1530號,11.13,商,,,1081230,土地1建物1車位1,十七層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840309.0,144.61,3,2,2,有,有,6900000,47715.0,坡道平面,0.0,0,,RPTNMLQLKHPFFAE48CA
459,鼓山區,房地(土地+建物)+車位,高雄市鼓山區神農路151~180號,14.48,商,,,1090103,土地1建物1車位1,十四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970826.0,173.16,4,2,2,有,有,13760000,79464.0,坡道機械,6.65,0,,RPTOMLKLKHPFFAE97CA
461,鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東四路361~390號,17.8,住,,,1090103,土地1建物1車位1,二十層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030212.0,203.79,3,2,2,有,有,17000000,83419.0,坡道平面,30.51,0,,RPTOMLOKKHPFFAE28CA
462,鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東八街1~30號,28.99,住,,,1081231,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990429.0,225.62,4,2,2,有,有,14800000,65597.0,坡道平面,26.31,0,,RPUNMLOKKHPFFAE28CA
463,鼓山區,房地(土地+建物)+車位,高雄市鼓山區南屏路841~870號,18.07,商,,,1090103,土地1建物1車位1,十五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,951205.0,210.66,4,2,2,有,有,15550000,73816.0,坡道平面,20.93,0,,RPUNMLNKKHPFFAE18CA
476,鼓山區,房地(土地+建物)+車位,高雄市鼓山區明誠三路421~450號,12.43,商,,,1081218,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950823.0,126.97,3,2,2,有,有,8950000,70489.0,坡道機械,6.44,0,,RPPOMLPLKHPFFAE08CA
480,鼓山區,房地(土地+建物)+車位,高雄市鼓山區裕誠路1771~1800號,23.3,商,,,1081223,土地1建物1車位2,二十二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030613.0,366.57,4,2,3,有,有,30500000,83204.0,坡道平面,35.96,0,,RPVNMLRLKHPFFAE78CA
481,鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南二路1~30號,30.81,住,,,1081222,土地1建物1車位1,十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010809.0,308.97,4,2,2,有,有,24080000,77936.0,坡道平面,17.06,0,有裝潢,RPOOMLRLKHPFFAE18CA
483,鼓山區,房地(土地+建物),高雄市鼓山區美術東四路301~330號,8.73,商,,,1081111,土地1建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950825.0,87.63,2,2,1,有,有,5000000,57058.0,,0.0,0,,RPSOMLRLKHPFFAE58CA
484,鼓山區,房地(土地+建物)+車位,高雄市鼓山區富農路151~180號,16.08,商,,,1090102,土地1建物1車位2,十四層,三十層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1011011.0,280.39,3,2,2,有,有,20600000,73469.0,坡道平面,26.34,0,,RPSNMLPJLHPFFAE18CA
496,左營區,房地(土地+建物)+車位,高雄市左營區重忠路1~30號,12.03,商,,,1090102,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,940225.0,140.74,3,2,2,有,有,7650000,54356.0,坡道平面,16.31,0,含裝潢,RPPQMLLKKHPFFEE18CA
497,左營區,房地(土地+建物)+車位,高雄市左營區明華一路121~150號,7.05,商,,,1090106,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020808.0,92.94,2,2,1,有,有,6660000,71659.0,坡道機械,0.0,0,,RPQQMLLKKHPFFEE28CA
499,楠梓區,房地(土地+建物),高雄市楠梓區惠民里青埔街50巷66弄1~30號,16.93,住,,,1090117,土地1建物1車位0,十六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,800511.0,156.82,4,1,3,有,有,4750000,30290.0,,0.0,0,,RPSOMLKKKHPFFEE18CA
508,左營區,房地(土地+建物)+車位,高雄市左營區新莊一路121~150號,13.19,住,,,1081222,土地1建物1車位1,十三層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830811.0,176.64,3,2,2,有,有,8300000,46988.0,坡道平面,0.0,0,,RPWNMLRKKHPFFEE56CA
514,左營區,房地(土地+建物),高雄市左營區翠峰路1~30號,22.51,住,,,1090113,土地1建物1車位0,四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,841013.0,134.47,3,2,2,有,有,4500000,33465.0,,0.0,0,,RPVOMLRLKHPFFEE66CA
517,左營區,房地(土地+建物)+車位,高雄市左營區重光路61~90號,16.15,住,,,1090102,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,870403.0,177.47,4,2,2,有,有,8380000,47219.0,坡道平面,0.0,0,,RPOPMLKLKHPFFEE97CA
519,楠梓區,房地(土地+建物)+車位,高雄市楠梓區惠民路233巷1~30號,10.58,住,,,1090108,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950816.0,88.44,2,2,1,有,有,4050000,45794.0,升降機械,7.12,0,,RPWNMLLJLHPFFEE58CA
545,前鎮區,房地(土地+建物)+車位,高雄市前鎮區竹南里管仲南路331~360號,14.12,商,,,1090113,土地1建物1車位2,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,960126.0,178.55,3,2,2,有,有,10500000,58807.0,坡道機械,0.0,0,,RPPNMLOJKHPFFCE18CD
549,左營區,房地(土地+建物),高雄市左營區重上街31~60號,7.72,商,,,1090115,土地1建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,940202.0,83.25,2,1,1,有,有,4500000,54054.0,,0.0,0,,RPUPMLQLKHPFFEE66DA
562,楠梓區,房地(土地+建物),高雄市楠梓區土庫三路251巷1~30號,14.61,住,,,1081228,土地2建物1車位0,三層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010817.0,129.5,3,2,2,有,有,5500000,42471.0,,0.0,0,,RPPNMLPJKHPFFEE48CD
582,岡山區,房地(土地+建物)+車位,高雄市岡山區公園西路三段151~180號,17.01,住,,,1090121,土地1建物1車位1,十四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850220.0,143.49,4,1,2,有,有,7508567,52328.0,坡道機械,0.0,0,受債權債務影響或債務抵償之交易。;,RPUNMLNKKHPFFFE68CA
600,大社區,房地(土地+建物),高雄市大社區大社路31~60號,15.39,商,,,1081230,土地1建物1車位0,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,821026.0,133.77,4,2,2,有,無,3500000,26164.0,,0.0,0,,RPPNMLNKKHPFFIE48CA
619,左營區,房地(土地+建物)+車位,高雄市左營區文慈路289巷1~30號,11.8,住,,,1090115,土地1建物1車位1,十一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840511.0,126.86,3,2,2,有,有,5480000,43197.0,坡道平面,0.0,0,,RPOOMLOLKHPFFEE28CA
620,左營區,房地(土地+建物),高雄市左營區緯六路241~270號,33.41,住,,,1081216,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,991216.0,173.82,3,2,2,有,無,5980000,34403.0,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLPLKHPFFEE38CA
621,楠梓區,房地(土地+建物)+車位,高雄市楠梓區德賢路555巷1~30號,5.97,住,,,1090103,土地1建物1車位1,四層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,851028.0,83.28,2,2,1,有,有,3200000,38425.0,升降機械,0.0,0,,RPXPMLRLKHPFFEE96CA
631,左營區,房地(土地+建物)+車位,高雄市左營區重立路1~30號,20.21,住,,,1081204,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,見使用執照,920724.0,132.55,3,2,2,有,有,8000000,60355.0,坡道平面,22.33,0,親友間買賣,RPWOMLTKKHPFFEE86CA
632,左營區,建物,高雄市左營區富民路421~450號,0.0,,,,1081231,土地0建物1車位0,十四層,十六層,住宅大樓(11層含以上有電梯),住家用,見使用執照,870921.0,135.32999999999998,3,2,2,有,有,5000000,36947.0,,0.0,0,,RPSPMLRKKHPFFEE98CA
633,左營區,房地(土地+建物)+車位,高雄市左營區自由二路151~180號,11.24,住,,,1090110,土地1建物2車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830803.0,128.72,3,2,2,有,有,5700000,44282.0,坡道平面,0.0,0,,RPUNMLOKKHPFFEE68CA
634,左營區,房地(土地+建物),高雄市左營區果峰街3巷1~30號,19.34,住,,,1081227,土地1建物1車位0,六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,741129.0,105.19,3,2,2,有,有,2750000,26143.0,,0.0,0,,RPWNMLOKKHPFFEE88CA
638,楠梓區,房地(土地+建物),高雄市楠梓區壽豐路391~420號,21.68,商,,,1090112,土地2建物1車位0,十二層，十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840126.0,163.32000000000005,4,3,3,有,有,5300000,32452.0,,0.0,0,,RPTNMLPKKHPFFEE68CA
639,左營區,房地(土地+建物),高雄市左營區民族一路901巷26弄1~30號,9.72,住,,,1090110,土地1建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850712.0,107.69,3,2,2,有,有,4500000,41787.0,,0.0,0,,RPVNMLPKKHPFFEE88CA
645,三民區,房地(土地+建物)+車位,高雄市三民區鼎信街31~60號,13.56,住,,,1090105,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,831026.0,114.36,4,1,2,有,有,5080000,44421.0,坡道機械,0.0,0,,RPPOMLLKKHPFFDE87CA
648,三民區,房地(土地+建物)+車位,高雄市三民區天祥一路1~30號,18.71,住,,,1090112,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030312.0,139.64,3,2,2,有,有,8450000,60513.0,坡道平面,0.0,0,,RPSPMLLKKHPFFDE28CA
651,三民區,房地(土地+建物),高雄市三民區鼎安路1~30號,37.0,住,,,1081220,土地1建物1車位0,十二層，十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,811228.0,234.73,7,2,4,有,有,6680000,28458.0,,0.0,0,,RPPOMLPKKHPFFDE28CA
652,三民區,房地(土地+建物)+車位,高雄市三民區建工路781~810號,31.42,住,,,1090113,土地2建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960131.0,202.9,4,2,2,有,有,9300000,45835.0,坡道平面,0.0,0,,RPSOMLRKKHPFFDE78CA
656,前鎮區,房地(土地+建物),高雄市前鎮區中華五路1007巷1~30號,24.82,住,,,1090105,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,910619.0,146.71,3,2,2,有,有,7500000,51121.0,,0.0,0,,RPRNMLSKKHPFFCE58CA
669,前鎮區,房地(土地+建物)+車位,高雄市前鎮區鄭和南路421~450號,16.94,商,,,1081206,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950317.0,215.5,4,2,2,有,有,12380000,57448.0,坡道平面,13.59,0,,RPSNMLLKKHPFFCE97CA
672,前鎮區,房地(土地+建物),高雄市前鎮區一心二路181~210號,4.29,商,,,1081225,土地1建物1車位0,十五層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,831001.0,72.4,2,1,1,有,有,3350000,46271.0,,0.0,0,,RPWOMLLKKHPFFCE48CA
675,苓雅區,房地(土地+建物),高雄市苓雅區仁義街1~30號,8.46,商,,,1090130,土地1建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,930303.0,83.0,2,2,1,有,有,6080000,73253.0,,0.0,0,,RPXOMLLKKHPFFBE48CA
679,苓雅區,房地(土地+建物)+車位,高雄市苓雅區仁德街1~30號,14.07,商,,,1090110,土地1建物1車位2,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,910717.0,183.08,3,2,2,有,有,6000000,32773.0,坡道機械,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVOMLNKKHPFFBE48CA
682,新興區,房地(土地+建物)+車位,高雄市新興區同心路61~90號,20.95,商,,,1081221,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850627.0,143.08,4,2,2,有,有,7100000,49623.0,坡道機械,0.0,0,,RPRNMLLKLHPFFBE87CA
683,苓雅區,房地(土地+建物),高雄市苓雅區建國一路151~180號,7.3,商,,,1090109,土地1建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,940822.0,81.49,2,1,1,有,有,4460000,54731.0,,0.0,0,,RPOOMLRLKHPFFBE28CA
